Ano,N,Média,SE,IC Inferior,IC Superior,Margem de Erro
2012,19786,19.121146265035883,0.24183487863471917,18.647129614352593,19.595162915719172,0.4740166506832885
2013,33462,18.780288087980395,0.16787016228973783,18.45125671396618,19.10931946199461,0.3290313740142136
2014,36639,19.029913480171402,0.16538007684728828,18.705763777259786,19.354063183083017,0.3241497029116156
2015,36417,19.03885547958371,0.1746863654699312,18.696465114592836,19.381245844574583,0.3423903649908715
2016,32978,19.45281702953484,0.17550626529870675,19.108818444613064,19.79681561445662,0.34399858492177926
2017,32469,19.370784440543286,0.1957967956294835,18.98701546642326,19.754553414663313,0.3837689741200267
2018,34808,19.171454837968284,0.18536643939563427,18.808130658728103,19.534779017208464,0.3633241792401805
2019,39725,18.3701195720579,0.1584063742706993,18.059639323437374,18.680599820678424,0.3104802486205247
2020,37831,19.039068488805476,0.1463833506058659,18.75215321387906,19.325983763731895,0.2869152749264181
2021,40921,17.962146575108136,0.1351310035480245,17.69728684072873,18.227006309487543,0.26485973437940624
2022,39691,18.815071426771812,0.15802768699467717,18.505333406104352,19.124809447439272,0.3097380206674588
2023,44082,18.98797695204392,0.13707250044776575,18.71931241097736,19.25664149311048,0.26866454106655807
2024,51681,19.180220970956444,0.14967210417379256,18.886862166716575,19.473579775196313,0.29335880423986876
