Ano,N,Média,DP,Erro Padrão,IC Inferior,IC Superior,Margem Erro
2010,1,30.0,,,,,
2012,11889,19.034906215829757,34.18316995003748,0.3135015343355003,18.42039193339198,19.649420498267535,0.6145142824377771
2013,20015,19.016537596802397,32.20408831173427,0.22763194629109024,18.57036019738813,19.462714996216665,0.44617739941426604
2014,21962,19.0609234131682,32.88236556486671,0.22188457381928975,18.62601367004245,19.49583315629395,0.4349097431257495
2015,21837,18.887805101433347,28.88301689064018,0.1954546770554389,18.504699738368306,19.27091046449839,0.38310536306504306
2016,19717,19.390830248009333,32.39698020714806,0.230719399315241,18.93860077249051,19.843059723528157,0.45222947551882303
2017,19517,19.25224163549726,36.41277809519316,0.26064373080793224,18.741357625785827,19.763125645208692,0.5108840097114311
2018,21045,19.08823948681397,30.0882573180822,0.20740659872239167,18.68170664108047,19.494772332547466,0.40653284573349896
2019,23785,18.67349169644734,33.121561779509534,0.21476288479988948,18.252542755004615,19.094440637890063,0.4209489414427246
2020,22659,18.846153846153847,27.857723728052274,0.18506541155510886,18.483412927530207,19.208894764777487,0.3627409186236402
2021,24508,17.90031826342419,27.366655519324265,0.17481061055883607,17.55767884017019,18.24295768667819,0.3426394232539986
2022,23911,18.971268453849692,31.458940904563146,0.20344416009841124,18.572505041129705,19.37003186656968,0.3987634127199868
2023,26449,18.94944988468373,29.943168981700314,0.18411667908355087,18.588571309513974,19.310328459853487,0.3608785751697565
2024,31029,18.990524992748718,31.056802545464006,0.17630833787008438,18.644953520033514,19.33609646546392,0.34557147271520444
2025,11676,17.28040424803015,28.777173854140546,0.2663183536436175,16.758375747087005,17.802432748973292,0.5220285009431441
