coluna,tipo_python,categoria_tipo,valores_totais,valores_validos,valores_nulos,percentual_preenchimento,valores_unicos,taxa_unica,minimo,maximo,amplitude,intervalo_textual,media,mediana,moda,desvio_padrao,variancia,coeficiente_variacao_pct,assimetria,curtose,quartil_25,quartil_50,quartil_75,amplitude_interquartil,limite_inferior_iqr,limite_superior_iqr,range_iqr,soma,produto,percentil_5,percentil_95,valores_top_5,frequencia_top,comprimento_min,comprimento_max,comprimento_medio,comprimento_desvio,diversidade,valor_mais_frequente,frequencia_maxima
nr_gta,int64,NUMÉRICO,64677,64677,0,100.0,62643,96.86,23.0,9831176.0,9831153.0,"[23, 9831176]",482380.804196,469824.0,281508.0,310018.246774,96111313333.02686,64.2684,2.2057,49.4139,222068.0,469824.0,744596.0,522528.0,-561724.0,1528388.0,"[222068.0, 744596.0]",31198943273.0,,40916.4,946428.0,,,,,,,,,
nr_serie,object,CATEGÓRICO,64677,64677,0,100.0,31,0.05,,,,,,,,,,,,,,,,,,,,,,,,"{'D ': 5778, 'N ': 4817, 'O ': 4437, 'K ': 4209, 'P ': 4032}",5778.0,2.0,2.0,2.0,0.0,0.0005,D ,5778.0
id_gta_origem_outro_estado,int64,NUMÉRICO,64677,64677,0,100.0,64677,100.0,9.0,358416.0,358407.0,"[9, 358416]",159902.063531,133004.0,9.0,109783.034433,12052314649.320057,68.6564,0.2576,-1.2628,60873.0,133004.0,259844.0,198971.0,-237583.5,558300.5,"[60873.0, 259844.0]",10341985763.0,,9156.4,339072.0,,,,,,,,,
dt_emissao_gta,object,CATEGÓRICO,64677,64677,0,100.0,4108,6.35,,,,,,,,,,,,,,,,,,,,,,,,"{'2025-01-14 00:00:00.0': 86, '2023-09-01 00:00:00.0': 84, '2023-12-15 00:00:00.0': 79, '2023-02-13 00:00:00.0': 77, '2022-10-21 00:00:00.0': 77}",86.0,21.0,21.0,21.0,0.0,0.0635,2025-01-14 00:00:00.0,86.0
cod_produtor_origem,int64,NUMÉRICO,64677,64677,0,100.0,18472,28.56,13.0,80229.0,80216.0,"[13, 80229]",26416.029902,16921.0,72132.0,25882.4345,669900415.648064,97.98,0.8928,-0.6571,5487.0,16921.0,42864.0,37377.0,-50578.5,98929.5,"[5487.0, 42864.0]",1708509566.0,,442.0,76423.0,,,,,,,,,
cod_produtor_destino,int64,NUMÉRICO,64677,64677,0,100.0,8918,13.79,427.0,3392697.0,3392270.0,"[427, 3392697]",1237879.269679,395460.0,23548.0,1419115.018449,2013887435586.2087,114.6408,0.6554,-1.5242,107458.0,395460.0,3135779.0,3028321.0,-4435023.5,7678260.5,"[107458.0, 3135779.0]",80062317525.0,,18578.6,3312093.0,,,,,,,,,
id_tipo_finalidade_gta,int64,NUMÉRICO,64677,64677,0,100.0,12,0.02,2.0,37.0,35.0,"[2, 37]",4.679268,2.0,2.0,6.616853,43.782744,141.4079,3.3955,11.8045,2.0,2.0,3.0,1.0,0.5,4.5,"[2.0, 3.0]",302641.0,,2.0,18.0,,,,,,,,,
municipio_origem,object,CATEGÓRICO,64677,64677,0,100.0,2121,3.28,,,,,,,,,,,,,,,,,,,,,,,,"{'SANTA CRUZ DO XINGU': 2405, 'JUSSARA': 991, 'GURUPI': 978, 'PARANAÍBA': 795, 'ITARUMÃ': 628}",2405.0,3.0,32.0,11.18,5.15,0.0328,SANTA CRUZ DO XINGU,2405.0
cod_municipio_origem,int64,NUMÉRICO,64677,64677,0,100.0,2156,3.33,1100015.0,5300108.0,4200093.0,"[1100015, 5300108]",3815396.903041,3538907.0,5107743.0,1213807.835598,1473329461760.2788,31.8134,-0.4116,-0.8023,3200409.0,3538907.0,5106315.0,1905906.0,341550.0,7965174.0,"[3200409.0, 5106315.0]",246768425498.0,,1506138.0,5214051.0,,,,,,,,,
estado_origem,object,CATEGÓRICO,64677,64677,0,100.0,24,0.04,,,,,,,,,,,,,,,,,,,,,,,,"{'SP': 14320, 'GO': 11257, 'MT': 8098, 'BA': 6859, 'MS': 4482}",14320.0,2.0,2.0,2.0,0.0,0.0004,SP,14320.0
municipio_destino,object,CATEGÓRICO,64677,64677,0,100.0,775,1.2,,,,,,,,,,,,,,,,,,,,,,,,"{'UBERABA': 6122, 'FRUTAL': 3109, 'CAPINÓPOLIS': 2920, 'CARNEIRINHO': 2249, 'GUARDA-MOR': 1917}",6122.0,3.0,30.0,10.72,4.65,0.012,UBERABA,6122.0
cod_municipio_destino,int64,NUMÉRICO,64677,64677,0,100.0,775,1.2,3100104.0,3172202.0,72098.0,"[3100104, 3172202]",3138344.583113,3137502.0,3170107.0,22250.400101,495080304.664149,0.709,0.0582,-1.3174,3115805.0,3137502.0,3159803.0,43998.0,3049808.0,3225800.0,"[3115805.0, 3159803.0]",202978712602.0,,3104700.0,3170206.0,,,,,,,,,
estado_destino,object,CATEGÓRICO,64677,64677,0,100.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,{'MG': 64677},64677.0,2.0,2.0,2.0,0.0,0.0,MG,64677.0
qtd,int64,NUMÉRICO,64677,64677,0,100.0,236,0.36,1.0,1000.0,999.0,"[1, 1000]",37.170509,25.0,1.0,41.214111,1698.602938,110.8785,4.2369,45.7795,5.0,25.0,63.0,58.0,-82.0,150.0,"[5.0, 63.0]",2404077.0,,1.0,100.0,,,,,,,,,
