tempo,posicao,velocidade,aceleracao
0.0000,100.0000,0.0000,-9.8100
0.1000,100.0000,-0.9810,-11.7720
0.2000,99.9019,-2.1582,-14.1264
0.3000,99.6861,-3.5708,-16.9517
0.4000,99.3290,-5.2660,-20.3420
0.5000,98.8024,-7.3002,-24.4104
0.6000,98.0724,-9.7413,-29.2925
0.7000,97.0982,-12.6705,-35.1510
0.8000,95.8312,-16.1856,-42.1812
0.9000,94.2126,-20.4037,-50.6174
1.0000,92.1723,-25.4655,-60.7409
1.1000,89.6257,-31.5396,-72.8891
1.2000,86.4718,-38.8285,-87.4669
1.3000,82.5889,-47.5752,-104.9603
1.4000,77.8314,-58.0712,-125.9524
1.5000,72.0243,-70.6664,-151.1429
1.6000,64.9576,-85.7807,-181.3715
1.7000,56.3796,-103.9179,-217.6457
1.8000,45.9878,-125.6824,-261.1749
1.9000,33.4195,-151.7999,-313.4099
2.0000,18.2395,-183.1409,-376.0919
2.1000,0.0000,-220.7501,-451.3102
